Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,negative regulation of BMP signaling pathway (GO:0030514),1/52,0.0654873735382244,0.1822600396063837,0,0,15.625882352941176,42.59456028736928,SMAD1
GO_Biological_Process_2021,cardiac muscle tissue development (GO:0048738),1/53,0.0667054043220935,0.1834398618857572,0,0,15.324615384615385,41.49092576513871,SMAD1
GO_Biological_Process_2021,triglyceride metabolic process (GO:0006641),1/55,0.0691368880658187,0.1838838473682192,0,0,14.755555555555556,39.42192870007893,LIPH
GO_Biological_Process_2021,chemokine-mediated signaling pathway (GO:0070098),1/56,0.0703503446941226,0.1838838473682192,0,0,14.486545454545457,38.45116817407706,CCL25
GO_Biological_Process_2021,blood vessel morphogenesis (GO:0048514),1/56,0.0703503446941226,0.1838838473682192,0,0,14.486545454545457,38.45116817407706,FLT1
GO_Biological_Process_2021,peptidyl-tyrosine modification (GO:0018212),1/56,0.0703503446941226,0.1838838473682192,0,0,14.486545454545457,38.45116817407706,FLT1
GO_Biological_Process_2021,protein K48-linked ubiquitination (GO:0070936),1/57,0.0715622802585043,0.1838838473682192,0,0,14.227142857142857,37.51963840746828,IFI27
GO_Biological_Process_2021,regulation of secretion by cell (GO:1903530),1/59,0.0739815955600831,0.1838838473682192,0,0,13.735172413793103,35.76555009478774,SCG5
GO_Biological_Process_2021,cellular response to chemokine (GO:1990869),1/60,0.0751889789422143,0.1838838473682192,0,0,13.501694915254236,34.93901932570728,CCL25
GO_Biological_Process_2021,positive regulation of Ras protein signal transduction (GO:0046579),1/63,0.0788020538757809,0.1838838473682192,0,0,12.846451612903223,32.64047260238857,GPR55
GO_Biological_Process_2021,neuropeptide signaling pathway (GO:0007218),1/63,0.0788020538757809,0.1838838473682192,0,0,12.846451612903223,32.64047260238857,GALR3
GO_Biological_Process_2021,monocarboxylic acid biosynthetic process (GO:0072330),1/63,0.0788020538757809,0.1838838473682192,0,0,12.846451612903223,32.64047260238857,LIPH
GO_Biological_Process_2021,regulation of RNA metabolic process (GO:0051252),1/65,0.0812032260122347,0.1838838473682192,0,0,12.44375,31.243771275296563,IGF2BP3
GO_Biological_Process_2021,cellular response to type I interferon (GO:0071357),1/65,0.0812032260122347,0.1838838473682192,0,0,12.44375,31.243771275296563,IFI27
GO_Biological_Process_2021,"G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)",1/65,0.0812032260122347,0.1838838473682192,0,0,12.44375,31.243771275296563,GALR3
GO_Biological_Process_2021,BMP signaling pathway (GO:0030509),1/65,0.0812032260122347,0.1838838473682192,0,0,12.44375,31.243771275296563,SMAD1
GO_Biological_Process_2021,type I interferon signaling pathway (GO:0060337),1/65,0.0812032260122347,0.1838838473682192,0,0,12.44375,31.243771275296563,IFI27
GO_Biological_Process_2021,regulation of cell-matrix adhesion (GO:0001952),1/65,0.0812032260122347,0.1838838473682192,0,0,12.44375,31.243771275296563,CCL25
