,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
16,prerank,Coagulation,0.32437246669663655,1.2214992140507897,0.16012084592145015,0.3411819281443876,0.981,12/56,11.18%,CLU;CPQ;CTSO;CTSH;PRSS23;F8;DUSP6;BMP1;KLF7;TIMP1;THBS1;ARF4
17,prerank,Hypoxia,0.27939797070934225,1.2211269101510276,0.13229018492176386,0.2998998512943462,0.982,32/125,16.59%,JUN;RORA;BCL2;LARGE1;GBE1;MXI1;PAM;PRKCA;TPD52;CITED2;NDRG1;DUSP1;IER3;FOXO3;PPP1R15A;B3GALT6;KLF7;ALDOC;S100A4;SLC2A1;CDKN1B;ERRFI1;ENO2;EXT1;SAP30;FAM162A;P4HA1;HEXA;SLC25A1;PNRC1;MT1E;NAGK
18,prerank,Protein Secretion,-0.2620482441222692,-1.188991696294464,0.14328358208955225,0.3785814823093048,0.845,31/86,25.22%,GNAS;COPE;AP2M1;SEC24D;ICA1;ARF1;SGMS1;CD63;STX16;ARFGAP3;USO1;COPB2;MAPK1;SNAP23;AP2S1;NAPA;COPB1;SCRN1;TSG101;ATP7A;ATP6V1H;TMX1;ADAM10;AP1G1;NAPG;BNIP3;ARCN1;YKT6;ERGIC3;RAB14;TMED10
19,prerank,Spermatogenesis,0.30542982049392015,1.1829986559701324,0.19282511210762332,0.33929167551819367,0.991,27/60,31.62%,PEBP1;IP6K1;SPATA6;CSNK2A2;MLF1;GSTM3;JAM3;POMC;MLLT10;BRAF;TTK;GMCL1;BUB1;RPL39L;ARL4A;SIRT1;DBF4;SEPTIN4;PARP2;IDE;IFT88;CLPB;COIL;RFC4;TOPBP1;CCT6B;LPIN1
20,prerank,KRAS Signaling Up,-0.23954013289600806,-1.1011175349978257,0.24666666666666667,0.6242939730214632,0.967,22/96,16.68%,NIN;FCER1G;ENG;PSMB8;IL2RG;TRIB2;SPRY2;ADAM8;CD37;ETS1;TNFAIP3;VWA5A;MMD;CBR4;PTCD2;CTSS;LAT2;H2BC3;TRAF1;MAP3K1;ERO1A;CBX8
21,prerank,Glycolysis,-0.22499932507713988,-1.1004363232206886,0.22580645161290322,0.579184919008163,0.969,26/134,14.57%,RBCK1;G6PD;PPP2CB;BPNT1;SLC16A3;ISG20;HDLBP;PSMC4;TALDO1;ALG1;ALDH9A1;ENO1;MIF;CHST2;CYB5A;IRS2;MED24;PGM2;COPB2;B4GALT1;PGLS;SLC37A4;FKBP4;ME2;MDH1;IDH1
22,prerank,Wnt-beta Catenin Signaling,-0.2998268469599419,-1.0886089203823024,0.30982367758186397,0.578965854399438,0.978,10/30,20.11%,DLL1;TCF7;LEF1;JAG1;HDAC2;NOTCH1;FRAT1;RBPJ;MYC;NCSTN
23,prerank,Adipogenesis,-0.21833492169139024,-1.0803866406533176,0.2892857142857143,0.5689414579041797,0.981,36/158,16.88%,BCL6;UCP2;TST;UQCR10;STAT5A;PRDX3;COX7B;BCKDHA;TALDO1;PDCD4;ECH1;ABCB8;SLC66A3;HADH;ECHS1;CHCHD10;ATP1B3;DECR1;ARAF;SLC27A1;CHUK;TKT;UQCRC1;REEP5;IMMT;PFKL;RTN3;ACADS;REEP6;IDH1;DNAJC15;DBT;GADD45A;NDUFS3;ATP5PO;HIBCH
24,prerank,G2-M Checkpoint,-0.20567151964518307,-1.0655900466009276,0.27340823970037453,0.5818492923117815,0.986,29/181,12.09%,H2BC12;JPT1;CENPF;MKI67;GSPT1;KMT5A;PML;UPF1;TLE3;HMGA1;NUP50;KIF5B;LMNB1;KPNA2;TNPO2;PRC1;MEIS1;LIG3;TOP2A;NSD2;RAD23B;CUL3;CKS2;HSPA8;FBXO5;RBM14;EWSR1;PLK4;SYNCRIP
25,prerank,KRAS Signaling Dn,-0.25195494701109905,-1.0650681879352122,0.31741573033707865,0.549030031309487,0.986,11/62,9.25%,IFI44L;MX1;RSAD2;COQ8A;NUDT11;SNN;RYR1;CHST2;KMT2D;C5;TENT5C
26,prerank,Unfolded Protein Response,-0.22710003411544435,-1.063473929212533,0.2777777777777778,0.5222938401222673,0.988,22/105,16.60%,CNOT2;NFYA;SEC11A;DCP2;KIF5B;ATP6V0D1;SHC1;DDX10;LSM1;DNAJA4;HYOU1;PARN;EXOSC4;EIF4EBP1;CXXC1;EXOSC1;IFIT1;WFS1;BANF1;DCTN1;ERO1A;ERN1
27,prerank,heme Metabolism,-0.21156973650713876,-1.0493851433120729,0.30851063829787234,0.54233363993411,0.993,36/146,20.33%,ACP5;PSMD9;TRAK2;NEK7;UCP2;ACSL6;NCOA4;SLC25A38;NARF;VEZF1;CDR2;EPB41;SLC66A2;ADD1;PPP2R5B;TENT5C;LRP10;OSBP2;CTSB;BSG;PGLS;TMEM9B;SLC30A1;TFRC;MOSPD1;ALAD;OPTN;BMP2K;ENDOD1;DCAF11;ERMAP;CPOX;YPEL5;MBOAT2;RBM38;RNF123
28,prerank,E2F Targets,0.2259604727182312,1.037799076724263,0.36947791164658633,0.6929926254134927,1.0,60/183,29.48%,LIG1;ANP32E;PTTG1;HUS1;ASF1A;RAD51C;CENPM;CHEK1;EXOSC8;MXD3;LUC7L3;MCM4;CNOT9;NUP205;DUT;EED;STMN1;MCM7;CDKN1B;PDS5B;BRCA1;STAG1;POLE;NUP107;CDK4;ASF1B;DDX39A;TRA2B;MCM6;TMPO;GINS3;MCM5;KIF22;SRSF1;PRDX4;DSCC1;BARD1;HMGB2;CCP110;NUP153;PSMC3IP;PRKDC;GINS4;PNN;PHF5A;TCF19;MCM2;ATAD2;H2AZ1;PAN2;USP1;RBBP7;NAP1L1;NAA38;XRCC6;HELLS;TK1;TUBB;SRSF2;RAD1
29,prerank,Notch Signaling,0.33217431883381066,1.0318416056997208,0.41272430668841764,0.6481193838785414,1.0,7/22,13.89%,TCF7L2;PRKCA;FBXW11;MAML2;LFNG;NOTCH2;SAP30
30,prerank,UV Response Up,-0.21739174797381536,-1.0257437426535616,0.40384615384615385,0.5896737324739185,0.996,25/115,16.05%,CDC34;HMOX1;MARK2;TST;TAP1;GCH1;BAK1;PPAT;STARD3;NXF1;CNP;CLTB;AP2S1;ACAA1;BSG;PPP1R2;ATP6V1F;RPN1;FKBP4;ARRB2;TFRC;CASP3;BID;EIF2S3;GRINA
