Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,cell_type
prerank,Estrogen Response Early,0.2438030676809649,1.070985431833774,0.3164179104477612,0.6442280772700407,1.0,24/133,13.30%,SVIL;BCL2;KAZN;RAB31;ABCA3;SNX24;DYNLT3;ADCY9;ASB13;ABAT;RPS6KA2;MINDY1;GAB2;TOB1;EGR3;MYBL1;PRSS23;MAPT;BLVRB;MAST4;MYBBP1A;MREG;PODXL;RRP12,CD56_dim_CD16__NK
prerank,Angiogenesis,0.38417548989393135,1.0631018772002574,0.38030560271646857,0.5739526905421078,1.0,2/16,0.32%,S100A4;TIMP1,CD56_dim_CD16__NK
prerank,Xenobiotic Metabolism,-0.22324935041442728,-1.0559186871609767,0.30116959064327486,0.35424309164714957,0.993,39/131,21.65%,CNDP2;UGDH;SSR3;GCH1;MTHFD1;GSR;HPRT1;SHMT2;GCNT2;HMOX1;IRF8;ALDH9A1;LPIN2;PTGES3;PSMB10;RETSAT;SERTAD1;CYP2J2;ECH1;ALAS1;SERPINE1;CASP6;PGD;GCLC;SLC6A6;SLC35D1;SPINT2;CAT;AHCY;HES6;DHPS;IGFBP4;ACOX1;CROT;GSS;DDT;GART;KARS1;TKFC,CD56_dim_CD16__NK
prerank,Hypoxia,0.22460451396786063,0.9972939321244135,0.4597014925373134,0.6953370454474757,1.0,10/145,2.21%,LARGE1;S100A4;ALDOC;IGFBP3;ENO2;FAM162A;BCL2;IER3;CDKN1B;ERRFI1,CD56_dim_CD16__NK
prerank,IL-2/STAT5 Signaling,-0.2017224253534718,-0.9913870004834768,0.49280575539568344,0.5023200617100813,1.0,43/165,19.77%,GBP4;PLSCR1;DENND5A;CCND2;DCPS;GUCY1B1;IL1RL1;CDC6;IRF8;LCLAT1;PLAGL1;MAPKAPK2;PRKCH;HK2;IGF1R;ST3GAL4;TTC39B;GPR65;F2RL2;TNFSF11;GALM;ALCAM;AMACR;PDCD2L;IKZF2;IRF4;HUWE1;NCOA3;MAP3K8;SLC39A8;AHCY;SNX14;SLC2A3;CAPG;CCNE1;PIM1;EOMES;TNFSF10;CASP3;MYC;PLEC;IFITM3;ITGAE,CD56_dim_CD16__NK
prerank,heme Metabolism,-0.2012337244173323,-0.9905573383358449,0.46835443037974683,0.49031824205383806,1.0,32/165,15.24%,ACP5;PPP2R5B;MBOAT2;E2F2;DAAM1;USP15;CTNS;ADD1;RNF123;DCAF11;RANBP10;LPIN2;VEZF1;HTRA2;CTSB;TOP1;CPOX;MAP2K3;PSMD9;UCP2;NR3C1;NEK7;ATG4A;MARK3;NARF;H4C3;GCLC;GYPC;NCOA4;FBXO7;CAT;RBM5,CD56_dim_CD16__NK
prerank,Apical Junction,0.21488920489739932,0.931353395310705,0.6117824773413897,0.8055495069524373,1.0,28/127,19.59%,SORBS3;CTNNA1;AKT3;PIK3CB;THBS3;ZYX;BAIAP2;RRAS;CTNND1;JAM3;CDH4;NLGN3;NRTN;CD99;NLGN2;CD274;PKD1;PLCG1;PARD6G;MYL9;SGCE;AMIGO2;RSU1;TGFBI;LIMA1;WASL;MYL12B;INSIG1,CD56_dim_CD16__NK
prerank,Pperoxisome,0.21840526879780855,0.8902882783520015,0.6833073322932918,0.8326500139981958,1.0,17/87,14.26%,PRDX1;DLG4;FADS1;ERCC1;CNBP;TSPO;DHCR24;SOD1;SOD2;PEX13;FIS1;SLC25A4;ABCD3;EPHX2;ESR2;ITGB1BP1;PEX5,CD56_dim_CD16__NK
prerank,Reactive Oxygen Species Pathway,0.24590918885017266,0.8729441140348144,0.6704730831973899,0.7982874126526722,1.0,9/46,13.59%,PRDX1;PRNP;SRXN1;PRDX2;SOD1;SOD2;ATOX1;HHEX;PRDX4,CD56_dim_CD16__NK
prerank,UV Response Dn,-0.1708054006879103,-0.790617358237899,0.9113573407202216,0.9115291046104551,1.0,25/105,19.64%,PTEN;SIPA1L1;CDC42BPA;RASA2;ICA1;ATP2C1;IGF1R;NR3C1;NEK7;COL5A2;ATP2B1;DAB2;SERPINE1;CDK13;ATRX;MAP2K5;MAP1B;SPOP;ADD3;MTA1;FYN;PTPRM;MYC;RUNX1;PEX14,CD56_dim_CD16__NK
prerank,Androgen Response,0.17320614981673282,0.6975431525148948,0.9610591900311527,0.9712570379817712,1.0,25/86,27.40%,ADAMTS1;ABCC4;CDC14B;FADS1;DHCR24;HMGCS1;ANKH;MAK;PDLIM5;PA2G4;RRP12;DNAJB9;SAT1;CDK6;INSIG1;HERC3;APPBP2;HMGCR;ELOVL5;SELENOP;PIAS1;NDRG1;MYL12A;PGM3;INPP4B,CD56_dim_CD16__NK
