"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","cell_type","direction"
"MITOTIC SPINDLE",6.80911703801275e-14,1.13485283966879e-12,0.954541630725724,-0.508388866598825,-2.38620023381529,188,"SMC4;EPB41;CD2AP;TRIO;PCNT;RAPGEF5;CENPE;KPTN;CLIP2;SPTBN1;ROCK1;WASF1;MARCKS;GEMIN4;CCNB2;ATG4B;RABGAP1;MARK4;KIF3C;RACGAP1;ARHGEF7;WASF2;PPP4R2;AKAP13;LMNB1;KATNB1;ANLN;CAPZB;EPB41L2;NEDD9;TPX2;CKAP5;STK38L;SMC1A;CDC42;FLNB;KIF5B;CENPF;FARP1;DOCK2;ABI1;NCK1;FGD6;FBXO5;ARHGAP4;RHOF;SEPTIN9;BIRC5;APC;SMC3;PRC1;DLGAP5;PKD2;MAP1S;BCL2L11;RFC1;EZR;SSH2;RANBP9;RALBP1;KIF4A;PAFAH1B1;NUSAP1;ITSN1;CSNK1D;MAPRE1;HOOK3;WASL;ECT2;RASA2;KIF2C;CEP131;BUB1;MYH9;RAB3GAP1;BIN1;KLC1;NDC80;KATNA1;TTK;SAC3D1;TBCD;NET1;ABL1;CEP250","CD4_naive_Tcm","Down with age"
"MTORC1 SIGNALING",6.17785197422063e-10,5.14820997851719e-09,0.801215574617779,-0.450742359779593,-2.12776306327992,194,"PSMA4;HPRT1;IMMT;SQLE;NFKBIB;MTHFD2L;RPN1;PIK3R3;SCD;YKT6;RIT1;EEF1E1;PSMD13;SHMT2;ADD3;PITPNB;CCT6A;SORD;GSK3B;PSME3;IGFBP5;PSMC6;HSPA4;HK2;CALR;MCM4;DDX39A;GPI;GMPS;NUFIP1;SLC2A1;ETF1;GCLC;PDAP1;PSMC4;ACTR2;ATP6V1D;PSMA3;PPIA;ENO1;SKAP2;ACLY;PSMD14;BCAT1;TUBG1;TMEM97;SLC6A6;CD9;ARPC5L;MLLT11;MCM2;NMT1;PGK1;CTSC;PSMC2;COPS5;RRP9;ATP2A2;LDHA;SEC11A;TCEA1;GAPDH;GLRX;BUB1;EIF2S2;RRM2;NFYC;TFRC;CCNF;ADIPOR2;EBP;TES;CACYBP;PGM1;RDH11;NAMPT;TRIB3;PSAT1;UBE2D3;IFRD1;ELOVL5;SRD5A1;ACTR3;MTHFD2;TXNRD1;ACSL3;PPP1R15A;ATP5MC1;SDF2L1;HMGCS1;DDIT3;HSPA5;WARS1;CORO1A;UCHL5","CD4_naive_Tcm","Down with age"
"MYC TARGETS V1",8.88684152093009e-23,4.44342076046505e-21,1.23789667319529,-0.578260116885978,-2.74006385326,200,"RAD23B;NOP16;EIF3B;VDAC1;PPM1G;STARD7;PSMB2;EIF4G2;EIF4A1;SERBP1;CTPS1;PSMA4;HPRT1;DEK;MCM7;CCT2;IMPDH2;UBE2L3;HDGF;EIF3J;PWP1;YWHAQ;PSMD1;SNRPG;SMARCC1;PSMA6;COX5A;NOLC1;POLE3;TXNL4A;HNRNPD;NME1;HDAC2;SYNCRIP;TRIM28;PSMD3;RPLP0;TFDP1;PSMA7;KPNA2;DDX21;CCT4;SRPK1;HNRNPR;SET;PSMA2;PSMC6;ILF2;PSMD8;RNPS1;ERH;FAM120A;RAN;CYC1;MCM5;NDUFAB1;MCM4;C1QBP;GNL3;NHP2;SNRPB2;CCT3;SNRPD3;ETF1;PCBP1;SRM;PSMC4;HNRNPA2B1;PSMB3;USP1;PPIA;UBA2;CDC45;ABCE1;PSMD14;CCT5;IARS1;PRPF31;MCM2;PGK1;LSM7;PHB1;COPS5;RPL6;EXOSC7;RRP9;LDHA;CBX3;APEX1;HDDC2;AIMP2;TUFM;EIF2S2;EIF4E;CDC20;PRDX3;H2AZ1;TCP1;SNRPD1;AP3S1;CDK2;IFRD1;ACP1;NOP56;HNRNPA3;LSM2;CCT7;KARS1;RANBP1;RACK1;PCNA;GSPT1;NCBP2;KPNB1;HNRNPC;MRPS18B;RSL1D1;CAD;MYC;XRCC6","CD4_naive_Tcm","Down with age"
"MYC TARGETS V2",1.29753993062227e-07,7.20855517012373e-07,0.690132458796796,-0.597424845333381,-2.30857224531058,58,"NOP16;TFB2M;SLC19A1;TCOF1;PPRC1;WDR43;NOLC1;IPO4;NDUFAF4;NIP7;MRTO4;SORD;HK2;MCM5;BYSL;MCM4;GNL3;DCTPP1;SRM;PES1;TMEM97;GRWD1;RCL1;PHB1;PLK4;RRP9;NOP2;CBX3;AIMP2;EXOSC5","CD4_naive_Tcm","Down with age"
"MYOGENESIS",0.123922785246467,0.199875460074946,0.0518526599597102,0.281046041621933,1.20422716761914,128,"IGFBP3;FXYD1;TNNC1;MAPRE3;LARGE1;KCNH2;MYO1C;PRNP;NAV2;LAMA2;SVIL;WWTR1;ADCY9;CNN3;SORBS3;PTP4A3;ITGB1;PFKM;CLU;PICK1;ITGB5;AGL;MYH3;FHL1;MYOM1;LDB3;ENO3;PDLIM7;CKMT2;SH3BGR;AEBP1","CD4_naive_Tcm","Not significant"
"NOTCH SIGNALING",0.0724543080939948,0.142029822823814,0.0777921919210674,-0.431859538896266,-1.39884557157774,27,"ST3GAL6;WNT5A;SAP30;DTX1;HES1;FZD1;NOTCH1;TCF7L2;DLL1","CD4_naive_Tcm","Not significant"
"OXIDATIVE PHOSPHORYLATION",1.03264165477684e-11,1.29080206847105e-10,0.875325132024659,-0.471899778529938,-2.23226420857159,198,"SLC25A5;ATP5F1C;VDAC1;ATP5F1B;IDH2;IMMT;NDUFA9;TIMM8B;MRPS12;ATP5F1E;SLC25A12;MRPS11;CS;NDUFC2;COX5A;ATP5MC3;ATP5PB;NDUFA2;NDUFS6;NDUFS3;COX7B;MRPL15;ACAA2;PDHB;UQCRQ;UQCRH;MDH1;NDUFB6;ATP6V0B;MRPS15;COX6A1;BDH2;ATP5MF;NDUFA6;TOMM22;CYC1;UQCRC2;COX6C;SDHD;ATP1B1;NDUFAB1;NDUFS8;ALAS1;SDHB;GPI;TIMM13;UQCRC1;ATP5PF;ETFB;NDUFB4;AFG3L2;NDUFV1;NDUFA7;ATP6V1D;PMPCA;NNT;SLC25A6;TIMM9;ISCA1;SLC25A20;UQCR10;ATP6V1H;HADHB;ATP6V1F;SUCLG1;RETSAT;LDHA;AIFM1;HCCS;MDH2;MRPL11;NDUFA1;MRPS22;RHOT1;MFN2;PRDX3;CYCS;CYB5A;TIMM50;ATP5ME;COX10;VDAC2;BCKDHA;UQCRFS1;DLD;HSD17B10;IDH3B;TIMM17A;NDUFB3;POLR2F;ATP5MC1;ETFDH;LDHB","CD4_naive_Tcm","Down with age"
"P53 PATHWAY",0.200687791697372,0.264062883812331,0.0483839694551487,-0.238671884949526,-1.10989874916835,175,"MXD4;ADA;SEC61A1;IP6K2;TP53;EI24;PPM1D;BAK1;TRAF4;ZMAT3;ACVR1B;TAX1BP3;SLC35D1;ABCC5;RCHY1;IRAG2;DEF6;RALGDS;COQ8A;PTPRE;FOXO3;NUDT15;TRIAP1;SLC3A2;PITPNC1;CTSD;JUN;WRAP73;ZFP36L1;NOTCH1;CCNK;RETSAT;TP63;TRAFD1;POM121;HDAC3;TAP1;KLF4;IRAK1;TRIB3;ELP1;MXD1;SP1;PRMT2;JAG2;GM2A;PPP1R15A;TPRKB;LDHB;RACK1;SERTAD3;PCNA;DDIT3","CD4_naive_Tcm","Not significant"
"PANCREAS BETA CELLS",0.170289855072464,0.250426257459506,0.0460862164815482,0.469665696844471,1.27072587905318,15,"STXBP1;PAK3","CD4_naive_Tcm","Not significant"
"PEROXISOME",0.117121246848499,0.19730510105871,0.0622012112321493,-0.292222739973173,-1.22581511115253,90,"IDH2;CTPS1;CLN6;PEX13;ABCD3;ABCB1;SMARCC1;ABCD1;ACSL1;MSH2;ABCC5;GNPAT;CAT;PRDX5;SLC25A19;CTBP1;VPS4B;SLC35B2;CEL;RETSAT;SLC25A17;SIAH1;FIS1;MVP;NUDT19;RDH11;ELOVL5;CDK7;SCP2","CD4_naive_Tcm","Not significant"
