"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","cell_type","direction"
"MYC TARGETS V2",6.30131604281651e-07,1.51231585027596e-05,0.659444398037935,-0.590565479057478,-2.25702621979807,58,"GNL3;RCL1;NDUFAF4;EXOSC5;NOLC1;NOP16;PPRC1;IMP4;WDR43;WDR74;GRWD1;SRM;MRTO4;BYSL;MYC;IPO4;NIP7;PPAN;MPHOSPH10;NOP2;HK2;PHB1;FARSA;TBRG4;TMEM97;NOP56;DCTPP1","Treg","Down with age"
"MYOGENESIS",0.282926829268293,0.452682926829268,0.0308187898420047,0.289569140961702,1.1006817198475,84,"ITGB1;FXYD1;SPTAN1;NAV2;PRNP;ADAM12;MYO1C;TPM3;ATP6AP1;DMPK;ADCY9;TGFB1;SORBS3;FHL1;LSP1;SYNGR2;NQO1;PICK1","Treg","Not significant"
"NOTCH SIGNALING",0.85667215815486,0.874899225349644,0.0190724074332127,-0.244322755492576,-0.722839104702355,20,"KAT2A;DTX1;LFNG;NOTCH1;NOTCH2;DTX2;DLL1;MAML2","Treg","Not significant"
"OXIDATIVE PHOSPHORYLATION",0.332908569608155,0.484230646702772,0.0422441410140851,-0.225190051346047,-1.04473381171815,198,"SLC25A5;IMMT;DLD;VDAC1;BDH2;SLC25A6;NDUFB2;ACAA2;AFG3L2;ATP5F1B;IDH2;ATP5MC3;TOMM22;ATP5F1E;TIMM13;COX6C;ATP5MC1;ETFDH;PDHB;SDHD;MTX2;UQCRH;ATP5ME;COX10;ISCA1;NDUFA2;COX7B;CYB5A;MRPS30;NDUFV2;ATP5F1C;LDHB;CYC1;TIMM8B;ETFA;NDUFA7;ACADVL;FDX1;CS;UQCRFS1;ATP1B1;NDUFV1;TIMM9;UQCRQ;UQCR10;LDHA;NDUFB4;BCKDHA;SLC25A12;SLC25A20;CYCS;ACO2;NDUFS2","Treg","Not significant"
"P53 PATHWAY",0.0777147971360382,0.17763382202523,0.0615683355795463,0.299072140068136,1.2500493920229,158,"S100A4;ZNF365;CD82;DDB2;RPS27L;RXRA;FAS;S100A10;ISCU;GLS2;H2AC25;FBXW7;WWP1;SAT1;NDRG1;CASP1;IFI30;H2AJ;CDKN2A;PVT1;CEBPA;ZBTB16;VWA5A;TGFB1;ATF3;EPS8L2;APAF1;STOM;RALGDS;TM7SF3;ERCC5;POLH;SP1;CCND2;RETSAT;DRAM1;CGRRF1;BAK1;H1-2","Treg","Not significant"
"PEROXISOME",0.159040706847586,0.305358157147365,0.0431016038901931,0.318146285217108,1.20240818072008,81,"GSTK1;TSPO;ELOVL5;SLC25A4;CADM1;YWHAH;ACSL5;ABCD2;ACSL4;PEX14;PRDX1;ITGB1BP1;ECI2;ACAA1;IDE;ACOT8;RETSAT;ESR2;TOP2A;SOD1;STS;ATXN1;HMGCL","Treg","Not significant"
"PI3K AKT MTOR SIGNALING",0.312157721796276,0.481546438920238,0.02890376707745,0.281772436711478,1.08147871954624,89,"TIAM1;TBK1;CDKN1B;DAPP1;SQSTM1;SLA;HSP90B1;PIN1;MKNK1;YWHAB;RPS6KA3;ACTR2;GRB2;ARHGDIA;RAF1;THEM4;AKT1;PRKAR2A;MAP3K7;CLTC;NCK1;CDKN1A;CAB39;MAP2K3;RPS6KA1;MYD88;RIPK1","Treg","Not significant"
"PROTEIN SECRETION",0.0336410577374433,0.11534076938552,0.0974433570168394,0.361460048707508,1.38732998587648,89,"STAM;CD63;SGMS1;PAM;ANP32E;GALC;TPD52;KIF1B;VPS45;GOSR2;DOP1A;SEC24D;CTSC;RPS6KA3;LAMP2;AP2B1;PPT1;RAB14;AP3S1;GOLGA4;TMX1;CLTC;SOD1;TMED2;AP3B1;KRT18;SNAP23;SEC22B;SCAMP1;YIPF6;GBF1;IGF2R;RER1;CLN5;USO1","Treg","Not significant"
"REACTIVE OXYGEN SPECIES PATHWAY",0.0123148610417707,0.0738891662506241,0.167658528065765,0.472261366158084,1.59152115704615,44,"PRNP;TXN;SRXN1;MBP;PFKP;PRDX1;PRDX4;LSP1;CDKN2D;TXNRD2;NQO1;OXSR1;TXNRD1;SELENOS;PRDX2;GSR;GCLM;SOD1;STK25","Treg","Not significant"
"SPERMATOGENESIS",0.685002426791781,0.747275374681943,0.0168379367536634,0.241755336193398,0.877291874078285,65,"MLF1;NCAPH;PEBP1;PHF7;CDKN3;EZH2;IDE;MAST2;ZC2HC1C;MTOR;PRKAR2A;BUB1;HSPA1L;AURKA","Treg","Not significant"
"TGF BETA SIGNALING",0.0044988752811797,0.0359910022494376,0.34452128726268,-0.468130011957903,-1.69772806187818,45,"IFNGR2;SPTBN1;PMEPA1;SKIL;NOG;FKBP1A;SMAD3;TRIM33;SMURF2;SMAD7;ID3;ARID4B;TGFBR1","Treg","Down with age"
"TNFA SIGNALING VIA NFKB",0.0482509047044632,0.144926009795145,0.113318868985054,-0.283701181480291,-1.27338985625788,155,"IFNGR2;ZBTB10;PMEPA1;SIK1;DENND5A;ABCA1;ETS2;NFKB1;TLR2;EFNA1;IL23A;JUN;IL6ST;CCRL2;KDM6B;PLK2;TNFAIP8;SMAD3;CD69;SNN;RELB;CD83;NFKBIA;FOS;MXD1;RIPK2;YRDC;BIRC2;NFKB2;PDE4B;BCL2A1;MYC;IL7R;TGIF1;F2RL1;PNRC1;GADD45A","Treg","Not significant"
"UNFOLDED PROTEIN RESPONSE",0.948416988416988,0.948416988416988,0.0114381415142316,0.185856394607063,0.73381379932633,106,"ERO1A;NABP1;HERPUD1;PDIA6;SLC1A4;ERN1;HSP90B1;GOSR2;SPCS1;ATF3;SLC7A5;EDC4;SSR1;EDEM1;BAG3;SEC11A;MTREX;KIF5B;EXOC2;DDIT4","Treg","Not significant"
"UV RESPONSE DN",0.0218204488778055,0.0952165041940603,0.121293105191013,0.372475629403938,1.43274366558515,90,"BMPR1A;ANXA2;TGFBR3;ATP2B4;ACVR2A;MT1E;RXRA;CDKN1B;PIAS3;SRI;ATP2B1;ANXA4;KALRN;INPP4B;CDK13;PEX14;DUSP1;GCNT1;NR1D2;ATRX;SFMBT1;PRKCA;NR3C1;PRDM2;CITED2","Treg","Not significant"
"UV RESPONSE UP",0.357972245822713,0.488291860565766,0.0379364958949899,-0.242374992230624,-1.0372561120065,112,"CHKA;BCL2L11;FKBP4;KLHDC3;STARD3;IL6ST;DDX21;AGO2;ABCB1;E2F5;CDC5L;NFKBIA;FOS;POLE3;PPAT;CNP;STIP1;PRKACA;NXF1;CASP3;NUP58;AP2S1;DGAT1;HSPA13;PPIF;EIF2S3;GRINA;LYN;CCND3;CDC34;POLR2H;BTG1;PARP2;ARRB2","Treg","Not significant"
"WNT BETA CATENIN SIGNALING",0.0138955438428366,0.0741095671617952,0.189706833450518,-0.504685263271851,-1.64974317843197,29,"LEF1;AXIN2;TCF7;KAT2A;NKD1;HDAC2;AXIN1;MYC;MAML1;GNAI1;NOTCH1","Treg","Not significant"
"XENOBIOTIC METABOLISM",0.603712296983759,0.689956910838581,0.0180337454064793,0.235213688904437,0.930287380805103,108,"DHRS7;ELOVL5;FAS;ABCD2;NPC1;SSR3;ITIH4;SLC6A6;SLC46A3;GSS;SLC1A5;NQO1;HPRT1;PTGES3;MARCHF6;IL1R1;RETSAT;GSR;ATP2A2;TPST1;CASP6;SLC12A4;NINJ1;FAH;TKFC;TMBIM6;ACOX3;SLC35B1;SAR1B;PPARD;IGFBP4;BLVRB;ASL","Treg","Not significant"
