"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","cell_type","direction"
"EPITHELIAL MESENCHYMAL TRANSITION",0.0229021963581753,0.097854838984931,0.130086070372915,0.380287196558016,1.48913366686733,62,"SGCD;IGFBP3;VIM;RHOB;SNTB1;COPA;LGALS1;TGFBR3;ITGB1;ID2;EMP3;FLNA;TGFBI;TIMP1;PLOD1;PPIB;LAMA2;SGCB;NT5E;QSOX1;GLIPR1;NOTCH2;PCOLCE","CD4_cytoT","Not significant"
"ESTROGEN RESPONSE EARLY",0.372668513388735,0.486539448035293,0.028697229391757,0.243044757606733,1.04079087135212,101,"SVIL;MYBL1;XBP1;BCL2;ADCY9;PRSS23;DYNLT3;ABHD2;CHPT1;CELSR2;MREG;BHLHE40;SLC2A1;SNX24;PLAAT3;MAPT;DHRS3","CD4_cytoT","Not significant"
"ESTROGEN RESPONSE LATE",0.416755717033554,0.529392397312893,0.0293175024119253,-0.236615422930855,-1.01566761188579,92,"EEIG1;ETFB;MYB;DUSP2;ISG20;FLNB;TOP2A;TIAM1;SLC1A4;IL6ST;IGFBP4;IDH2;SGK1;ELOVL5","CD4_cytoT","Not significant"
"FATTY ACID METABOLISM",0.075119409465914,0.179997753818509,0.0762633077782967,-0.27855387070216,-1.25238859550884,119,"UBE2L6;TP53INP2;HSPH1;BLVRA;KMT5A;ADSL;ACAT2;ECI1;FH;PSME1;MDH2;ALDH9A1;CPOX;CPT1A;ELOVL5;ACO2;FASN;ETFDH;ACOT8;SUCLG1;HADH;HADHB;DECR1;ODC1;ALDH3A2;ACSS1;ACOX1;ECHS1;NTHL1;HIBCH","CD4_cytoT","Not significant"
"G2M CHECKPOINT",0.000110272006293014,0.00129569607394292,0.538434096309916,-0.361809496553939,-1.69742428528124,157,"KIF11;TACC3;LMNB1;CCNF;LBR;TOP2A;HSPA8;JPT1;KPNA2;KMT5A;NUMA1;GSPT1;NASP;KNL1;H2BC12;TPX2;CHEK1;EZH2;SMC4;H2AZ2;NUSAP1;TLE3;CKS2;MKI67;E2F3;HMGB3;PML;TOP1;PRC1;CENPE;NSD2;HMGA1;CENPF;RAD23B;TFDP1;HMGN2;ATF5;HNRNPD;KIF20B;BARD1;SYNCRIP;ODC1;SS18;ABL1;HIF1A;SMAD3;H2AX;CDKN3;PRIM2;PTTG1;H2AZ1;NDC80;SMC2;CUL3;SLC7A5;NUP50","CD4_cytoT","Down with age"
"GLYCOLYSIS",0.933774834437086,0.933774834437086,0.0142110897417088,0.175809180184164,0.773509952417083,122,"IGFBP3;TKTL1;UGP2;AK3;RRAGD;IER3;SAP30;TGFBI;DDIT4;CTH;B3GAT1;SLC25A13;B4GALT7;EXT1;PLOD1;GUSB;GMPPB;PAM;NT5E;QSOX1;EXT2;KIF2A;TPI1;B3GALT6;ARPP19;CXCR4;GNE;MXI1;ENO2;GLCE;B4GALT4;GALE;P4HA1;HSPA5;SRD5A3","CD4_cytoT","Not significant"
"HEME METABOLISM",0.0612469706983917,0.179912976426526,0.0853949304825912,-0.27357467325351,-1.25608484727608,136,"EPB41;TENT5C;ACP5;BNIP3L;BLVRA;RNF19A;YPEL5;AQP3;RANBP10;OPTN;ACSL6;CDR2;GYPC;DCAF11;MPP1;UCP2;CTSB;KDM7A;CPOX;RBM38;PGLS;MARCHF2;TOP1;HDGF;CLCN3;LPIN2;CAT;SLC66A2;MAP2K3;CTNS;PPP2R5B;BTG2;UBAC1;PPOX;LRP10;PSMD9","CD4_cytoT","Not significant"
"HYPOXIA",0.171164510166359,0.280763363390578,0.0451750626902471,0.263781941611425,1.15754095398578,121,"S100A4;IGFBP3;RORA;BCL2;PNRC1;HEXA;PLAC8;TKTL1;UGP2;BHLHE40;SLC2A1;RRAGD;IER3;SAP30;NDRG1;TGFBI;DDIT4;GBE1;FOXO3;KLF6;EXT1;NR3C1;DUSP1;TPST2;PGM1;PDGFB;FOSL2;GAA;PAM;WSB1;TPI1;B3GALT6;CXCR4;ILVBL;KDM3A;MXI1;XPNPEP1;ENO2;SLC25A1;GPI;DDIT3;TES;P4HA1;HSPA5","CD4_cytoT","Not significant"
"IL2 STAT5 SIGNALING",0.120818863096326,0.246890720240319,0.054250115182477,0.263440622865252,1.18967609394948,146,"ARL4A;IGF2R;PRNP;HOPX;RORA;PTCH1;GPR65;CCND3;XBP1;BCL2;PTGER2;CST7;RHOB;SERPINB6;SWAP70;CD48;FGL2;MXD1;ANXA4;ST3GAL4;RNH1;BHLHE40;SOCS2;RRAGD;NDRG1;SPRED2;DHRS3;AHNAK;KLF6;POU2F1;FAH;HYCC2;BMPR2;LRRC8C;CISH;CD83","CD4_cytoT","Not significant"
"IL6 JAK STAT3 SIGNALING",0.00040190155809564,0.00314822887174918,0.49849310876659,-0.505589484041143,-1.9058776397286,47,"CD38;LTB;STAT1;SOCS3;IL10RB;IRF9;TNFRSF1B;PTPN11;BAK1;STAT2;HMOX1;IL6ST;IL17RA;ITGA4","CD4_cytoT","Down with age"
